id,post_time,content,rise,post_id,segmented_content
1695618501180_mobileM,2023-09-25,你不是說我大放厥詞嗎? 明明怎麼看，怎麼算，都是垃圾功能，還是收費。 你卻來說我大放厥詞，我等你來反駁我。 貼出資費，給你組合更好的方案。 你一問三不知，只會小學作文。,1.0,125552,"['你', '不', '是', '說', '我', '大放', '厥詞', '嗎', '?', ' ', '明明', '怎麼', '看', '，', '怎麼', '算', '，', '都', '是', '垃圾', '功能', '，', '還是', '收費', '。', ' ', '你', '卻', '來', '說', '我', '大放', '厥詞', '，', '我', '等', '你', '來', '反駁', '我', '。', ' ', '貼出', '資費', '，', '給', '你', '組合', '更', '好', '的', '方案', '。', ' ', '你', '一', '問', '三', '不', '知', '，', '只', '會', '小學', '作文', '。']"
1692002103820_mobileR,2023-08-14,感謝狐狸大分析[微笑],1.0,122540,"['感謝', '狐狸', '大', '分析', '[', '微笑', ']']"
1698817380722_mobileM,2023-11-01,不藏私，就是3702的大聯大    投信從八月開始狂買到現在，雖然漲不快，但只要拉回就買進的話 勝率100%,1.0,129071,"['不', '藏私', '，', '就是', '3702', '的', '大聯大', '    ', '投信', '從', '八月', '開始', '狂', '買到', '現在', '，', '雖然', '漲不快', '，', '但', '只要', '拉回', '就', '買進', '的', '話', ' ', '勝率', '100', '%']"
1695347212209_mobileM,2023-09-22,今天躺著賺,1.0,125152,"['今天', '躺', '著', '賺']"
1698285953309_F0DCU,2023-10-26,賺這個自摸一把就有了,1.0,63238,"['賺', '這', '個', '自摸', '一', '把', '就', '有', '了']"
1691726224087_PTT02R,2023-08-11,"剛收到0050和006208的收益分配書
0050的""國內財產交易所得""佔超過一半
006208的卻大部分都是""股利或盈餘所得""

去年也是類似的狀況
兩者為何差異這麼大
這樣006208對於所得稅率20%以上的投資者要繳的稅多了不少
內扣成本較低的優勢似乎就不在了

請問有辦法在除息前知道""國內財產交易所得""跟""股利或盈餘所得""分別佔多少嗎
謝謝

--
",1.0,146320,"['剛', '收到', '0050', '和', '006208', '的', '收益', '分配書', ' ', '0050', '的', '""', '國內', '財產', '交易', '所得', '""', '佔', '超過', '一半', ' ', '006208', '的', '卻', '大部分', '都', '是', '""', '股利', '或', '盈餘', '所得', '""', ' ', ' ', '去年', '也', '是', '類似', '的', '狀況', ' ', '兩', '者', '為何', '差異', '這麼', '大', ' ', '這樣', '006208', '對於', '所得稅率', '20', '%', '以上', '的', '投資者', '要', '繳', '的', '稅', '多', '了', '不少', ' ', '內扣', '成本', '較', '低', '的', '優勢', '似乎', '就', '不', '在', '了', ' ', ' ', '請', '問', '有', '辦法', '在', '除', '息', '前', '知道', '""', '國內', '財產', '交易', '所得', '""', '跟', '""', '股利', '或', '盈餘', '所得', '""', '分別', '佔', '多少', '嗎', ' ', '謝謝 ', ' ', '-', '-']"
1699313746888_F0DCU,2023-11-06,哈哈是我啦,1.0,66082,"['哈哈', '是', '我', '啦']"
1691748482165_F0DCU,2023-08-11,感謝可樂大 讓我反著做,1.0,55909,"['感謝', '可樂', '大', ' ', '讓', '我', '反', '著', '做']"
1699247478435_mobileM,2023-11-06,又一個想打敗巴菲特的  01真的太好玩了,1.0,129907,"['又', '一', '個', '想', '打敗', '巴菲特', '的', ' ', ' ', '01', '真的', '太', '好玩', '了']"
1698810119553_F0DCU,2023-11-01,權證本來就完全是賭，沒方向的,1.0,64795,"['權證', '本來', '就', '完全', '是', '賭', '，', '沒', '方向', '的']"
1692112747512_F02_dcard_C,2023-08-15,請問大家當沖都怎麼選股,1.0,57514,"['請問', '大家', '當', '沖', '都', '怎麼', '選股']"
1692224267273_F0DCU,2023-08-16,賣呀 反正是多賺來的,1.0,58204,"['賣', '呀', ' ', '反正', '是', '多', '賺來', '的']"
1692178170639_F0DCU,2023-08-16,請問小熊   我要做空    先賣   它顯示我存股不足欸   這要怎麼做空呢,1.0,57639,"['請問', '小熊   ', '我', '要', '做', '空', '    先', '賣', '   ', '它', '顯示', '我', '存股', '不足', '欸', ' ', '  ', '這', '要', '怎麼', '做', '空', '呢']"
