id,post_time,content,rise,post_id
1695248932686_mobileM,2023-09-21,統計上來說，除了美國大蕭條那陣子 目前很少有超長期蕭條存在 一方面是當初大蕭條原因已經被檢討過 一方面是美國會推動戰爭全球輪流割韭菜 從199x年亞洲金融風暴，搞歐元，烏俄戰爭 接下來應該又換回亞洲～希望台灣不會被捲入戰爭 目前大概就黑天鵝比較可怕  個人不喜歡看太長期經濟趨勢 時間拉長，影響變數增加，然後又修改預測...也是在看圖說故事 錢投下去，驗證一次的週期就跟著拉長...預測錯誤，投資錯誤回本的時間也拉長  以升息來說，年初一堆學經濟的預測升息到第一季或年中，年底降息 然後一堆投資客鼓吹買美債...雖然利率不錯， 但是看價格...不知道會不會驗證老話：你要人家的利，人家要你的本 還有匯率問題  然後到現在實際發生是今年應該還會升息一次，根本還看不到降息 跟年初預測根本差很多 只能說散戶的腦容量裝不了太久時間的內容，才會一直被割韭菜 人多的地方不要去，除非真的有把握克服人性的貪婪，跑得比別人快...,1.0,124706
1695325752929_F0DCU,2023-09-21,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,1.0,60533
1695331426819_F0DCU,2023-09-21,我朋友也中這間,1.0,60532
1695332828795_F0DCU,2023-09-21,這操作是賭不是投資,1.0,60531
1695333323884_F0DCU,2023-09-21,別怕下跌總有反彈時 只是彈的力道我就不知道了 損益別看 買進他總有你自己的理由 理由還在 就不要去看損益,1.0,60530
1695303430217_F02_dcard_C,2023-09-21,"https://sticker-assets.dcard.tw/images/9381abae-b8b9-46b5-8423-aeb5b48f2e0a/orig.png
明天將會有製造業採購指數(Manufacturing PMI) 及非製造業採購指數(Service PMI)

FedEx (FDX)：
季度盈利勝預期 0.84 美元，收入與預期持平 ； 24 財年每股收益指引符合預期，預計收入按年持平； 在 2024 財年額外回購 15 億美元的股票

Broadcom (AVGO)：
根據 The Information 報導，Alphabet (GOOG) 尋求使用 Marvell (MRVL)取代 Broadcom 晶片

KB Home (KBH)：
季度盈利勝預期 0.37 美元，收入超出預期，交付量下降 7%，房屋毛利率下降 520 個基點； 上調 2023 財政年度房屋收入指引； 房屋毛利率疲軟可能是由於公司加大購屋者優惠力度導致平均售價下降 8%

Five9 (FIVN)：
德意志銀行將其評級從持有上調至買入

Darden Restaurants (DRI)：
季度盈利勝預期 0.04 美元，報告收入與預期持平； 24 財年每股收益指引中點低於共識

FactSet (FDS)：
季度盈利遜預期 0.58 美元，收入與預期持平；  24 財年每股收益指引低於共識，收入指引符合預期

Warner Bros. Discovery (WBD) 和Paramount Global (PARA)：
根據 CNBC 報道，好萊塢編劇和製片公司即將達成協議

Splunk（SPLK）：
Cisco (CSCO) 將以每股 157 美元現金收購 Splunk，相當於約 280 億美元的股權價值

Starbucks (SBUX) :
Starbucks將季度股息從每股 0.53 美元提高至每股 0.57 美元

Uber (UBER): 
Uber Eats推出新功能以幫助客戶節省金錢和時間

U.S. Steel (X) 和 Cleveland Cliffs (CLF) :
根據雅虎財經報道，U.S. Steel (X) 和 Cleveland Cliffs (CLF) 就出售過程存在爭議",1.0,60529
1695317798933_F0DCU,2023-09-21,Day3咧？ 破產沒,1.0,60528
1695333323857_F0DCU,2023-09-21,"我個人建議，買個小日曆，放在自己工作桌上，註明今年重要事情，至少可以避開大盤最容易震盪時間，也能順便調整持股比例。

買股票是有風險，所以不建議歐印，因為有多餘資金才能攤平，不然被套可能會很久，或浪費時間。",1.0,60527
1695336477169_F0DCU,2023-09-21,今天停損波若威，然後低接中光電，賭它明天守月線拉回,1.0,60526
1695324044659_F0DCU,2023-09-21,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,1.0,60525
