id,post_time,content,rise,post_id,segmented_content
1692059875067_F0DCU,2023-08-15,"0050玩的是月~年 
人家玩的是當日 就是一個心跳
我看過是晚幾秒賣出跌20",1.0,57135,"['0050', '玩', '的', '是', '月', '~', '年', ' ', ' ', '人家', '玩', '的', '是', '當日', ' ', '就', '是', '一', '個', '心跳', ' ', '我', '看過', '是', '晚幾', '秒', '賣出', '跌', '20']"
1690162016112_mobileM,2023-07-24,7-24 作戰區------住VIP套房等崩盤,-1.0,119611,"['7', '-', '24', ' ', '作戰區', '------', '住', 'VIP', '套房', '等', '崩盤']"
1695846554661_F0DCU,2023-09-28,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,1.0,61849,"['已經', '刪除', '的', '內容', '就', '像', ' ', 'Dcard', ' ', '一樣', '，', '錯過', '是', '無法', '再', '相見', '的', '！']"
1690934097903_F0DCU,2023-08-01,趕緊賣 會跌一陣子,-1.0,53781,"['趕緊', '賣', ' ', '會', '跌', '一陣子']"
1690225841230_F0DCU,2023-07-24,恭喜獲利入袋,-1.0,48158,"['恭喜', '獲利', '入袋']"
1690167351610_mobileM,2023-07-24,其實就是投資跟投機的差別 投資的話看公司營運，財報，未來趨勢（這個不確定性高） 投機的話，設定的條件（線形，籌碼...）符合就可以買了  雖然是無基之彈（庫存都還沒消化完），實際上還是有彈 看操作理念要不要進場這樣,-1.0,119659,"['其實', '就是', '投資', '跟', '投機', '的', '差別', ' ', '投資', '的', '話', '看', '公司', '營運', '，', '財報', '，', '未來', '趨勢', '（', '這', '個', '不', '確定性', '高', '）', ' ', '投機', '的', '話', '，', '設定', '的', '條件', '（', '線', '形', '，', '籌碼', '...', '）', '符合', '就', '可以', '買', '了', ' ', ' ', '雖然', '是', '無基', '之', '彈', '（', '庫存', '都', '還', '沒', '消化', '完', '）', '，', '實際', '上', '還是', '有', '彈 ', '看', '操作', '理念', '要', '不', '要', '進場', '這樣']"
1692002396447_mobileM,2023-08-14,今年投資獲利2707K～,1.0,122637,"['今年', '投資', '獲利', '2707', 'K', '～']"
1690349806040_F0DCU,2023-07-26,還行 我買智原短短一個多月13萬賺到80幾萬 雖然沒有航海王賺得多,-1.0,49461,"['還', '行', ' ', '我', '買', '智原', '短短', '一', '個', '多', '月', '13萬', '賺到', '80幾萬', ' ', '雖然', '沒有', '航海王', '賺', '得', '多']"
1686552627130_F0DCU,2023-06-12,"我除了定期定額扣以外
如果有預期會大漲前我都會再額外下單
這樣操作比較彈性
個人建議~",1.0,45437,"['我', '除了', '定期', '定額', '扣', '以外', ' ', '如果', '有', '預期', '會', '大漲', '前', '我', '都', '會', '再', '額外', '下單', ' ', '這樣', '操作', '比較', '彈性', ' ', '個人', '建議', '~']"
1690937576194_F0DCU,2023-08-02,"加油💪這次的教訓當經驗學習了
那錢有湊出來嗎？",-1.0,54105,"['加油', '💪', '這', '次', '的', '教訓', '當', '經驗', '學習', '了', ' ', '那', '錢', '有', '湊出來', '嗎', '？']"
1691017392583_F0DCU,2023-08-02,建議你去看眼科,-1.0,54493,"['建議', '你', '去', '看', '眼科']"
1689748359583_F0D2CU@,2023-07-10,"想問如果進場的話
停利點跟停損點要抓多少呢",1.0,46100,"['想問', '如果', '進場', '的', '話', ' ', '停利點', '跟', '停損點', '要', '抓', '多少', '呢']"
1691742994143_PTT02R,2023-08-11,"1.提報董事會或經董事會決議日期:112/08/11
2.審計委員會通過日期:112/08/11
3.財務報告或年度自結財務資訊報導期間
起訖日期(XXX/XX/XX~XXX/XX/XX):112/01/01~112/06/30
4.1月1日累計至本期止營業收入(仟元):19,279,261
5.1月1日累計至本期止營業毛利(毛損) (仟元):2,091,692
6.1月1日累計至本期止營業利益(損失) (仟元):16,967
7.1月1日累計至本期止稅前淨利(淨損) (仟元):957,168
8.1月1日累計至本期止本期淨利(淨損) (仟元):864,857
9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):862,424
10.1月1日累計至本期止基本每股盈餘(損失) (元):0.72
11.期末總資產(仟元):79,230,218
12.期末總負債(仟元):24,360,310
13.期末歸屬於母公司業主之權益(仟元):54,818,833
14.其他應敘明事項:無


資料來源:https://mops.twse.com.tw/mops/web/t05sr01_1

明年噴

--
",1.0,146357,"['1', '.', '提報', '董事會', '或', '經', '董事會', '決議', '日期', ':', '112', '/', '08', '/', '11', ' ', '2', '.', '審計', '委員會', '通過', '日期', ':', '112', '/', '08', '/', '11', ' ', '3', '.', '財務', '報告', '或', '年度', '自結', '財務', '資訊', '報導', '期間', ' ', '起', '訖', '日期', '(', 'XXX/XX/XX~XXX/XX/XX', ')', ':', '112', '/', '01', '/', '01', '~', '112', '/', '06', '/', '30', ' ', '4.1月', '1日', '累計', '至', '本', '期', '止', '營業', '收入', '(', '仟', '元', ')', ':', '19,279,261', ' ', '5.1月', '1日', '累計', '至', '本', '期', '止', '營業', '毛利', '(', '毛損', ')', ' ', '(', '仟', '元', ')', ':', '2,091,692', ' ', '6.1', '月', '1日', '累計', '至', '本', '期', '止', '營業', '利益', '(']"
1690360518261_F0DCU,2023-07-26,B261 好奇本金才 10 萬怎麼會想選擇做當沖？沖輸幾次就龜苓膏了⋯想要放大槓桿賺快錢，怎不考慮穩當些的融資操作？根據我的經驗，新手當沖打多都是「繳學費」，但別把繳學費當作「賠錢」的藉口，若我本金只有10萬不會考慮玩當沖,-1.0,49594,"['B', '261', ' ', '好奇', '本金', '才', ' ', '10', ' ', '萬', '怎麼', '會', '想', '選擇', '做當', '沖', '？', '沖輸', '幾', '次', '就', '龜苓膏', '了', '⋯', '想要', '放大', '槓桿', '賺', '快錢', '，', '怎', '不', '考慮', '穩當些', '的', '融資', '操作', '？', '根據', '我', '的', '經驗', '，', '新手', '當', '沖打', '多', '都', '是', '「', '繳', '學費', '」', '，', '但', '別', '把', '繳', '學費', '當作', '「', '賠錢', '」', '的', '藉口', '，', '若', '我', '本金', '只有', '10萬', '不會', '考慮', '玩', '當', '沖']"
