id,post_time,content,rise,post_id,segmented_content
1655703917311_F01,2022-06-20,<BR>要攤平也不是往下攤，而是跌到底後，往上漲時才攤。,-1.0,76155,"['<', 'BR', '>', '要', '攤平', '也', '不', '是', '往', '下攤', '，', '而是', '跌', '到底', '後', '，', '往', '上漲', '時', '才', '攤', '。']"
1655756012364_F0DCU,2022-06-20,"彈啊 怎麼不彈
大彈500 小跌2000😁",-1.0,12649,"['彈', '啊', ' ', '怎麼', '不', '彈', ' ', '大彈', '500', ' ', '小跌', '2000', '😁']"
1650415125711_F0DCU,2022-04-19,"⚠️⚠️⚠️⚠️公司在股東會召開前的 1 個月左右，會寄出「開會通知書」，通知書上面會記載紀念品的內容和領取方式。
5月27號開會，大概4月底前會收到～",-1.0,7220,"['⚠️⚠️⚠️⚠️', '公司', '在', '股東會', '召開', '前', '的', ' ', '1', ' ', '個', '月', '左右', '，', '會', '寄出', '「', '開會', '通知', '書', '」', '，', '通知書', '上面', '會', '記載', '紀念品', '的', '內容', '和', '領取', '方式', '。', ' ', '5月', '27', '號', '開會', '，', '大概', '4月', '底', '前', '會', '收到', '～']"
1656474589763_PTT02R,2022-06-29,"目前大多使用三竹看盤，

智慧選股中會整理站上/跌破月/季線的股票，

可是都是在盤後才會整理，

導致無法第一時間作處理。

請問是否有盤中可以顯示站上或跌破均線的APP呢？

謝謝各位

--
",-1.0,136431,"['目前', '大多', '使用', '三竹', '看盤', '，', '  ', '智慧', '選股', '中', '會', '整理', '站上', '/', '跌破', '月', '/', '季線', '的', '股票', '，', ' ', ' ', '可是', '都', '是', '在', '盤', '後', '才', '會', '整理', '，', ' ', ' ', '導致', '無法', '第', '一', '時間', '作', '處理', '。', ' ', ' ', '請問', '是否', '有', '盤', '中', '可以', '顯示', '站上', '或', '跌破', '均線', '的', 'APP', '呢', '？', '  謝謝', '各', '位', '  --']"
1647456785764_F0DCU,2022-03-16,I,1.0,2253,['I']
1655431340092_F0DCU,2022-06-16,只有手續費能變。政府訂的不會讓你變,-1.0,12122,"['只', '有', '手續費', '能', '變', '。', '政府', '訂', '的', '不會', '讓', '你', '變']"
1650010146779_F0DCU,2022-04-15,可以拍劇了吧 這個宅鬥的劇情,-1.0,6083,"['可以', '拍劇', '了', '吧', ' ', '這', '個', '宅鬥', '的', '劇情']"
1655390299091_PTT02R,2022-06-16,"總經大師去年Q4~Q1的時候告訴我們

現在這價位不買,很多年以後都看不到

準不準 !!!!

他沒說分段 分批 或是戰爭 通膨 可怕

那些都是她想過了 認真分析過了

都不是問題 就是買!!!!


===

然後 很罕見的 最近連續發好友文告訴你

就是這裡了

發完 又崩了

話說啦....

既然是長期,是看好,哪有說就是這一點,以後買不到這種言論

粉粉最愛說,哪有在說買點的,三年五年,十年後來看

可是最愛說買點的就是總經大師啊

萬八買 萬七買 萬六買 就是買

美股更不用說 就是買買買買 起漲點

--
",-1.0,135590,"['總經', '大師', '去年', 'Q', '4', '~', 'Q', '1', '的', '時候', '告訴', '我們', ' ', ' ', '現在', '這', '價位', '不', '買', ',', '很多', '年', '以後', '都', '看', '不', '到', ' ', ' ', '準', '不', '準', ' ', '!', '!', '!', '!', ' ', ' ', '他', '沒', '說', '分段', ' ', '分批', ' ', '或是', '戰爭', ' ', '通膨', ' ', '可怕', ' ', ' ', '那些', '都', '是', '她', '想', '過', '了', ' ', '認真', '分析', '過', '了', ' ', ' ', '都', '不', '是', '問題', ' ', '就', '是', '買', '!', '!', '!', '!', ' ', '  ', '=', '=', '=', '  ', '然後', ' ', '很', '罕見', '的', ' ', '最', '近', '連續', '發', '好友文', '告訴', '你', ' ', ' ', '就是', '這裡', '了', '  ', '發完', ' ', '又', '崩', '了', ' ', ' ', '話', '說', '啦', '....', ' ', ' ', '既然', '是', '長期', ',', '是', '看好', ',', '哪', '有', '說', '就是', '這', '一點', ',', '以後', '買', '不', '到', '這', '種', '言論', '  ', '粉粉', '最愛', '說', ',', '哪', '有', '在', '說', '買點', '的', ',', '三', '年', '五']"
1652159861024_F01,2022-05-10,這下一萬五就希望了‧<BR>,1.0,73107,"['這', '下', '一萬五', '就', '希望', '了', '‧', '<', 'BR', '>']"
1655744629894_F01,2022-06-21,"<BR>今天美國休息一天不開盤,但期貨仍照常買賣,於是歐洲及道瓊期都順勢而上,看來明天台股八成反彈。",-1.0,76443,"['<', 'BR', '>', '今天', '美國', '休息', '一', '天', '不', '開盤', ',', '但', '期貨', '仍', '照常', '買賣', ',', '於是', '歐洲', '及', '道瓊期', '都', '順勢', '而', '上', ',', '看來', '明天', '台股', '八成', '反彈', '。']"
1652847170872_F0DCU,2022-05-18,真的有夠韭,-1.0,9174,"['真的', '有', '夠', '韭']"
1647823383300_PTT02R,2022-03-21,"原文標題：
真奇葩！這家中國公司竟自辦敲鐘儀式　假造在港交所上市
                                      (請勿刪減原文標題)  
原文連結：
https://tw.appledaily.com/property/20220321/ZW77DDQWG5DFLLGBVJGRJKLQ6Y/
                                      (網址超過一行過長請用縮網址工具)
發布時間：
2小時前
                                      (請以原文網頁/報紙之發布時間為準)
原文內容：

近期一家中國公司偽造上市敲鐘掛牌儀式的消息，在網路引發熱烈討論，

網友紛紛猜測背後用意是否要詐騙散戶。

據了解，今年1月一家來自廈門、名叫視奕科技的公司，

在自家官方微博宣稱，於1月22日在港交所上市，並同步啟動上市公司峰會。

根據其官方微博消息，該公司致力成為眼部大健康產業創新店商平台服務商，

產品主要包括超級電商和眼波儀，

上市當天還在廈門舉辦視奕科技香港主板上市財富峰會，

峰會現場與港交所現場連線直播。

快科技報導，視奕科技自導自演的上市直播相當逼真，甚至還出現現場敲鐘的場面。

但港交所披露的訊息顯示，從2022年1月往前推3個月，

並沒有一家叫做視奕科技的公司通過審核，

在港交所網站也並未查詢到這家公司的證券簡稱及代號等訊息。

3月13日廈門市地方金融監督管理局官網上發布公告指出，

廈門視奕科技有限公司在港上市的消息並不屬實，請市民及投資人多加注意。

而根據天眼查App顯示，廈門視奕科技成立於2021年1月，註冊資本1000萬人民幣，

法定代表人為楊英福，經營業務包括珠寶首飾批發、電氣設備銷售、

網路銷售電子產品及軟體開發等。

（財經中心／台北報導）

心得/評論：                             ※必需填寫滿30字，無意義者板規處分

連假裝上市櫃都可以演全套

這就叫誠意

投資理財有風險

小心來路不明聲稱要上市櫃的未上市股票


--
",1.0,133306,"['原文', '標題', '：', ' 真', '奇葩', '！', '這', '家', '中國公司', '竟', '自辦', '敲鐘', '儀式', ' ', '假造', '在', '港交所', '上市', '                                      ', ' ', '(', '請', '勿', '刪減', '原文', '標題', ')', '   ', '原文', '連結', '：', ' https', '://tw.appledaily.com', '/property/20220321/ZW77DDQWG5DFLLGBVJGRJKLQ6Y/                                       ']"
