id,post_time,content,rise,post_id,segmented_content
1672205630266_mobileR,2022-12-28,恭喜各位，我期貨空手錯過了，等下一次,1.0,100400,"['恭喜', '各', '位', '，', '我', '期貨', '空手', '錯過', '了', '，', '等', '下', '一', '次']"
1676954797160_mobileM,2023-02-21,慘，塔綠班現在只能跟黎巴嫰比了,1.0,106628,"['慘', '，', '塔綠班', '現在', '只', '能', '跟', '黎巴嫰', '比', '了']"
1667808892688_PTT02R,2022-11-07,"1. 標題：永豐金控公告其與子公司永豐銀行及永豐金證券111年10月 合併自結損益

2. 來源：公開資訊觀測站

3. 網址：https://mops.twse.com.tw/mops/web/t05sr01_1                               (請善用縮網址工具)

4. 內文：

明
1.事實發生日:111/11/07
2.公司名稱:永豐金控
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:本公司;本公司100%持有之子公司
5.發生緣由:永豐金控公告其與子公司永豐銀行及永豐金證券111年10月自結損益如下:
　　　　　　　　     稅後     累計稅後   稅後   累計稅後
　　　　　　　　     損益       損益      EPS     EPS
　　　　　　　     (佰萬元)   (佰萬元)    (元)    (元)
永豐金控              653      13,585     0.06    1.19
永豐銀行            1,042      13,119     0.12    1.45
永豐金證券           -309         795    -0.19    0.49
6.因應措施:無
7.其他應敘明事項:無


--
",1.0,141040,"['1', '.', ' ', '標題', '：', '永豐金控', '公告', '其', '與', '子公司', '永豐銀行', '及', '永豐金證券', '111年', '10月', ' ', '合併', '自結', '損益', ' ', ' ', '2', '.', ' ', '來源', '：', '公開', '資訊', '觀測站', ' ', ' ', '3', '.', ' ', '網址', '：', 'https', ':', '/', '/', 'mops.twse.com.tw/mops/web/t05sr01', '_', '1                               ', '(', '請', '善用', '縮', '網址', '工具', ')', ' ', ' ', '4', '.', ' ', '內文', '：', '  明 ', '1', '.', '事實', '發生日', ':', '111', '/', '11', '/', '07', ' ', '2', '.', '公司', '名稱', ':', '永豐金控', ' ', '3', '.', '與', '公司', '關係', '(', '請輸']"
1667545963638_mobileM,2022-11-04,真的不太懂才上來發問壓 請大大不令賜教,1.0,96185,"['真的', '不', '太', '懂', '才', '上來', '發', '問', '壓', ' ', '請', '大大', '不', '令', '賜教']"
1675225183165_mobileR,2023-02-01,感謝哥喔,1.0,103900,"['感謝', '哥', '喔']"
1676989978865_mobileR,2023-02-21,賞他一根蘿蔔  真的,1.0,106880,"['賞', '他', '一', '根', '蘿蔔', '  ', '真', '的']"
1667563059335_mobileM,2022-11-04,中信高評級公司債ETF 00772B每月配息 給您參考,1.0,96293,"['中信', '高評級', '公司', '債', 'ETF', ' ', '00772B', '每', '月', '配息', ' ', '給', '您', '參考']"
1676605677190_mobileR,2023-02-17,800萬？ 你真的台北人？,1.0,105658,"['800萬', '？', ' ', '你', '真的', '台北人', '？']"
1670635558048_F0DCU,2022-12-09,怎麼會相信這種東西-.-，當作教訓吧。,-1.0,30232,"['怎麼', '會', '相信', '這', '種', '東西', '-', '.', '-', '，', '當作', '教訓', '吧', '。']"
1673587155545_mobileM,2023-01-13,01是台灣的  大陸洗錢是違反大陸的法律  兩者並無任何關係  而且各國法律都有不同標準，不是同樣事情一概而論  例如  你可以在台灣總統府前拿韭菜諷刺總統 但絕對無法在天安門前拿小熊維尼抗議 也不可能去北韓金大將軍銅像前抗議  三者  台灣頂多驅離 大陸會被拘留 北韓可能槍斃,1.0,102386,"['01', '是', '台灣', '的', ' ', ' ', '大陸', '洗錢', '是', '違反', '大陸', '的', '法律', ' ', ' ', '兩', '者', '並', '無', '任何', '關係', ' ', ' ', '而且', '各', '國', '法律', '都', '有', '不同', '標準', '，', '不', '是', '同樣', '事情', '一概', '而', '論', ' ', ' ', '例如', ' ', ' ', '你', '可以', '在', '台灣', '總統府', '前', '拿', '韭菜', '諷刺', '總統', ' ', '但', '絕對', '無法', '在', '天安門', '前', '拿', '小熊', '維尼', '抗議', ' ', '也', '不可能', '去', '北韓', '金大', '將軍', '銅像', '前', '抗議', ' ', ' ', '三', '者', ' ', ' 台灣', '頂多', '驅離', ' ', '大陸', '會', '被', '拘留', ' ', '北韓', '可能', '槍斃']"
